# x,y,psi,psi_target,v_target -- speed-optimised centreline exported by tuner.tools.raceline_optimizer from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/acceleration_20260916/cone_map.json
# lateral_offsets=False
# centreline_lap_time_s=7.784 (no lateral optimisation -- diagnostic centreline)
# psi_target: shaped heading-lead reference (see late_turn_in_investigation.md Part 8/9), NOT the geometric path tangent (psi). Backward-compatible: a loader reading only 4 columns (x,y,psi,v_target) still parses this file.
x,y,psi,psi_target,v_target
10.0000,0.0000,0.00000,0.00000,16.7000
10.0651,0.0000,0.00000,0.00000,16.7000
10.1301,0.0000,0.00000,0.00000,16.7000
10.1952,0.0000,0.00000,0.00000,16.7000
10.2603,0.0000,0.00000,0.00000,16.7000
10.3253,0.0000,0.00000,0.00000,16.7000
10.3904,0.0000,0.00000,0.00000,16.7000
10.4555,0.0000,0.00000,0.00000,16.7000
10.5205,0.0000,0.00000,0.00000,16.7000
10.5856,0.0000,0.00000,0.00000,16.7000
10.6507,0.0000,0.00000,0.00000,16.7000
10.7157,0.0000,0.00000,0.00000,16.7000
10.7808,0.0000,0.00000,0.00000,16.7000
10.8458,0.0000,0.00000,0.00000,16.7000
10.9109,0.0000,0.00000,0.00000,16.7000
10.9760,0.0000,0.00000,0.00000,16.7000
11.0410,0.0000,0.00000,0.00000,16.7000
11.1061,0.0000,0.00000,0.00000,16.7000
11.1712,0.0000,0.00000,0.00000,16.7000
11.2362,0.0000,0.00000,0.00000,16.7000
11.3013,0.0000,0.00000,0.00000,16.7000
11.3664,0.0000,0.00000,0.00000,16.7000
11.4314,0.0000,0.00000,0.00000,16.7000
11.4965,0.0000,0.00000,0.00000,16.7000
11.5616,0.0000,0.00000,0.00000,16.7000
11.6266,0.0000,0.00000,0.00000,16.7000
11.6917,0.0000,0.00000,0.00000,16.7000
11.7568,0.0000,0.00000,0.00000,16.7000
11.8218,0.0000,0.00000,0.00000,16.7000
11.8869,0.0000,0.00000,0.00000,16.7000
11.9520,0.0000,0.00000,0.00000,16.7000
12.0170,0.0000,0.00000,0.00000,16.7000
12.0821,0.0000,0.00000,0.00000,16.7000
12.1471,0.0000,0.00000,0.00000,16.7000
12.2122,0.0000,0.00000,0.00000,16.7000
