# x,y,psi,v_target -- oracle path + speed profile exported by tuner.tools.export_speed_profile from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/acceleration_20260916/cone_map.json
x,y,psi,v_target
10.0000,0.0000,0.00000,18.0000
10.0651,0.0000,0.00000,18.0000
10.1301,0.0000,0.00000,18.0000
10.1952,0.0000,0.00000,18.0000
10.2603,0.0000,0.00000,18.0000
10.3253,0.0000,0.00000,18.0000
10.3904,0.0000,0.00000,18.0000
10.4555,0.0000,0.00000,18.0000
10.5205,0.0000,0.00000,18.0000
10.5856,0.0000,0.00000,18.0000
10.6507,0.0000,0.00000,18.0000
10.7157,0.0000,0.00000,18.0000
10.7808,0.0000,0.00000,18.0000
10.8458,0.0000,0.00000,18.0000
10.9109,0.0000,0.00000,18.0000
10.9760,0.0000,0.00000,18.0000
11.0410,0.0000,0.00000,18.0000
11.1061,0.0000,0.00000,18.0000
11.1712,0.0000,0.00000,18.0000
11.2362,0.0000,0.00000,18.0000
11.3013,0.0000,0.00000,18.0000
11.3664,0.0000,0.00000,18.0000
11.4314,0.0000,0.00000,18.0000
11.4965,0.0000,0.00000,18.0000
11.5616,0.0000,0.00000,18.0000
11.6266,0.0000,0.00000,18.0000
11.6917,0.0000,0.00000,18.0000
11.7568,0.0000,0.00000,18.0000
11.8218,0.0000,0.00000,18.0000
11.8869,0.0000,0.00000,18.0000
11.9520,0.0000,0.00000,18.0000
12.0170,0.0000,0.00000,18.0000
12.0821,0.0000,0.00000,18.0000
12.1471,0.0000,0.00000,18.0000
12.2122,0.0000,0.00000,18.0000
12.2773,0.0000,0.00000,18.0000
12.3423,0.0000,0.00000,18.0000
12.4074,0.0000,0.00000,18.0000
12.4725,0.0000,0.00000,18.0000
12.5375,0.0000,0.00000,18.0000
12.6026,0.0000,0.00000,18.0000
12.6677,0.0000,0.00000,18.0000
12.7327,0.0000,0.00000,18.0000
12.7978,0.0000,0.00000,18.0000
12.8629,0.0000,0.00000,18.0000
12.9279,0.0000,0.00000,18.0000
12.9930,0.0000,0.00000,18.0000
13.0581,0.0000,0.00000,18.0000
13.1231,0.0000,0.00000,18.0000
13.1882,0.0000,0.00000,18.0000
13.2533,0.0000,0.00000,18.0000
13.3183,0.0000,0.00000,18.0000
13.3834,0.0000,0.00000,18.0000
13.4484,0.0000,0.00000,18.0000
13.5135,0.0000,0.00000,18.0000
13.5786,0.0000,0.00000,18.0000
13.6436,0.0000,0.00000,18.0000
13.7087,0.0000,0.00000,18.0000
13.7738,0.0000,0.00000,18.0000
13.8388,0.0000,0.00000,18.0000
13.9039,0.0000,0.00000,18.0000
13.9690,0.0000,0.00000,18.0000
14.0340,0.0000,0.00000,18.0000
14.0991,0.0000,0.00000,18.0000
14.1642,0.0000,0.00000,18.0000
14.2292,0.0000,0.00000,18.0000
14.2943,0.0000,0.00000,18.0000
14.3594,0.0000,0.00000,18.0000
14.4244,0.0000,0.00000,18.0000
14.4895,0.0000,0.00000,18.0000
14.5546,0.0000,0.00000,18.0000
14.6196,0.0000,0.00000,18.0000
14.6847,0.0000,0.00000,18.0000
14.7497,0.0000,0.00000,18.0000
14.8148,0.0000,0.00000,18.0000
14.8799,0.0000,0.00000,18.0000
14.9449,0.0000,0.00000,18.0000
15.0100,0.0000,0.00000,18.0000
15.0751,0.0000,0.00000,18.0000
15.1401,0.0000,0.00000,18.0000
